Name;Centuries;T_Played;M_Won;M_Played;Titles;AST;Money_Prizes
Akani Songsermsawad;18.0;31.0;41.0;81.0;0.0;27.0;105450.0
Alan McManus;35.0;65.0;87.0;152.0;0.0;26.5;257601.0
Alexander Ursenbacher;7.0;22.0;32.0;74.0;0.0;21.7;33100.0
Alfie Burden;27.0;67.0;62.0;129.0;0.0;20.5;114700.0
Ali Carter;87.0;65.0;131.0;215.0;1.0;21.9;625525.0
Andrew Higginson;31.0;68.0;82.0;150.0;0.0;21.2;171633.0
Anthony Hamilton;33.0;69.0;80.0;157.0;0.0;28.7;198375.0
Anthony McGill;66.0;79.0;148.0;234.0;2.0;25.3;563297.0
Barry Hawkins;109.0;78.0;192.0;294.0;0.0;45.2;1057730.0
Ben Woollaston;55.0;80.0;133.0;237.0;0.0;22.7;308188.0
Cao Yupeng;20.0;50.0;65.0;127.0;0.0;25.8;148000.0
Chris Wakelin;27.0;68.0;72.0;140.0;0.0;23.9;151991.0
Craig Steadman;20.0;57.0;58.0;130.0;0.0;23.8;31449.0
Daniel Wells;25.0;66.0;63.0;128.0;0.0;24.9;89462.0
David Gilbert;79.0;76.0;138.0;241.0;0.0;25.6;367772.0
David Grace;23.0;50.0;53.0;120.0;0.0;27.0;127325.0
David Morris;9.0;27.0;24.0;51.0;0.0;;31083.0
Dechawat Poomjaeng;15.0;33.0;49.0;100.0;0.0;;81790.0
Ding Junhui;116.0;60.0;129.0;190.0;2.0;46.9;1108525.0
Dominic Dale;57.0;80.0;122.0;221.0;0.0;22.4;236633.0
Elliot Slessor;8.0;44.0;54.0;114.0;0.0;24.7;66000.0
Fergal O'Brien;50.0;70.0;102.0;184.0;0.0;27.5;209012.0
Gary Wilson;46.0;68.0;79.0;147.0;0.0;21.3;188486.0
Gerard Greene;17.0;57.0;50.0;106.0;0.0;24.2;36500.0
Graeme Dott;40.0;74.0;133.0;222.0;0.0;19.9;410558.0
Hossein Vafaei;18.0;35.0;48.0;84.0;0.0;22.7;115050.0
Ian Burns;13.0;50.0;53.0;120.0;0.0;24.8;35950.0
Jack Lisowski;62.0;68.0;96.0;164.0;0.0;18.1;240999.0
Jamie Burnett;9.0;22.0;25.0;51.0;0.0;;37566.0
Jamie Jones;37.0;69.0;101.0;170.0;0.0;21.2;234270.0
Jimmy Robertson;59.0;74.0;112.0;186.0;0.0;20.2;252009.0
Joe Perry;82.0;84.0;171.0;271.0;0.0;19.5;762533.0
Joe Swail;15.0;69.0;69.0;141.0;0.0;22.5;76677.0
John Astley;13.0;37.0;46.0;98.0;0.0;25.3;81725.0
John Higgins;172.0;84.0;214.0;307.0;4.0;39.1;1693402.0
Judd Trump;265.0;81.0;260.0;361.0;4.0;18.2;1594164.0
Ken Doherty;24.0;48.0;68.0;134.0;0.0;21.5;134497.0
Kurt Maflin;54.0;70.0;78.0;152.0;0.0;22.4;167209.0
Kyren Wilson;99.0;79.0;167.0;273.0;0.0;49.4;781625.0
Lee Walker;10.0;65.0;52.0;116.0;0.0;33.8;75075.0
Li Hang;46.0;64.0;82.0;149.0;0.0;24.6;211125.0
Liam Highfield;31.0;64.0;71.0;134.0;0.0;24.7;94325.0
Liang Wenbo;99.0;78.0;148.0;240.0;1.0;23.8;639916.0
Luca Brecel;51.0;76.0;124.0;202.0;1.0;18.4;535837.0
Lyu Haotian;17.0;33.0;35.0;73.0;0.0;22.2;94000.0
Marco Fu;138.0;70.0;136.0;219.0;0.0;20.6;818641.0
Mark Allen;147.0;72.0;157.0;232.0;0.0;19.3;1191930.0
Mark Davis;70.0;78.0;184.0;293.0;0.0;24.0;366127.0
Mark Joyce;41.0;68.0;75.0;143.0;0.0;25.6;210278.0
Mark King;36.0;83.0;123.0;211.0;0.0;46.1;350136.0
Mark Selby;180.0;73.0;231.0;317.0;7.0;72.5;2252771.0
Mark Williams;129.0;85.0;257.0;382.0;0.0;18.5;1380805.0
Martin Gould;81.0;68.0;143.0;230.0;0.0;22.4;477284.0
Martin O'Donnell;19.0;45.0;70.0;129.0;0.0;28.6;46100.0
Matthew Selt;49.0;77.0;134.0;229.0;0.0;23.8;290408.0
Matthew Stevens;34.0;68.0;75.0;150.0;0.0;21.3;166630.0
Mei Xiwen;10.0;31.0;32.0;66.0;0.0;27.0;71712.0
Michael Georgiou;15.0;73.0;69.0;139.0;0.0;20.9;84500.0
Michael Holt;46.0;81.0;139.0;247.0;0.0;23.9;364383.0
Michael White;67.0;80.0;148.0;253.0;1.0;20.2;452858.0
Mike Dunn;17.0;69.0;83.0;152.0;0.0;22.0;162900.0
Mitchell Mann;19.0;49.0;44.0;110.0;0.0;30.2;32750.0
Neil Robertson;195.0;70.0;169.0;245.0;2.0;22.7;1290354.0
Noppon Saengkham;32.0;69.0;74.0;148.0;0.0;25.0;140850.0
Oliver Lines;9.0;70.0;62.0;132.0;0.0;21.9;84062.0
Peter Ebdon;46.0;71.0;118.0;204.0;0.0;30.6;256804.0
Rhys Clark;13.0;39.0;32.0;70.0;0.0;24.8;32425.0
Ricky Walden;85.0;80.0;171.0;289.0;0.0;23.4;628477.0
Robbie Williams;19.0;63.0;67.0;129.0;0.0;20.3;137250.0
Robert Milkins;40.0;81.0;135.0;241.0;0.0;18.8;353994.0
Robin Hull;41.0;39.0;54.0;106.0;0.0;24.3;137524.0
Rod Lawler;15.0;54.0;64.0;141.0;0.0;31.4;92900.0
Ronnie O'Sullivan;200.0;49.0;159.0;199.0;5.0;33.7;2079300.0
Rory McLeod;18.0;71.0;70.0;140.0;0.0;29.4;150937.0
Ross Muir;12.0;51.0;37.0;106.0;0.0;28.8;31500.0
Ryan Day;111.0;85.0;205.0;337.0;2.0;20.3;626719.0
Sam Baird;27.0;69.0;62.0;131.0;0.0;23.8;115857.0
Sam Craigie;22.0;29.0;44.0;87.0;0.0;57.8;35600.0
Scott Donaldson;14.0;69.0;58.0;127.0;0.0;27.2;95025.0
Shaun Murphy;153.0;83.0;199.0;291.0;0.0;20.3;1432733.0
Stephen Maguire;110.0;78.0;171.0;266.0;0.0;23.5;658490.0
Stuart Bingham;134.0;83.0;220.0;323.0;0.0;22.6;1285032.0
Stuart Carrington;44.0;61.0;76.0;136.0;0.0;27.7;104075.0
Thepchaiya Un-Nooh;54.0;66.0;102.0;172.0;0.0;17.0;322107.0
Tian Pengfei;45.0;65.0;84.0;148.0;0.0;23.0;100000.0
Tom Ford;46.0;72.0;101.0;181.0;0.0;20.9;237050.0
Xiao Guodong;51.0;64.0;109.0;178.0;0.0;23.3;299670.0
Yan Bingtao;31.0;42.0;73.0;119.0;0.0;21.6;215375.0
Yu Delu;15.0;61.0;58.0;118.0;0.0;22.8;117725.0
Zhang Anda;44.0;61.0;66.0;125.0;0.0;26.7;77050.0
Zhao Xintong;25.0;53.0;57.0;110.0;0.0;18.5;34250.0
Zhou Yuelong;53.0;64.0;95.0;164.0;0.0;23.8;226275.0
